,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,90 ,81 , >95,95 ,85 , >95,>95 ,89 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Dominica,,,,,,,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,46 ,40 , 53,... ,... , ...,... ,... , ...,55 ,47 , 63
Dominican Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,74 ,58 , 94,68 ,53 , 86,63 ,49 , 80,82 ,64 , >95,68 ,52 , 89,67 ,52 , 88
Ecuador,... ,... , ...,... ,... , ...,... ,... , ...,55 ,37 , 90,80 ,54 , >95,... ,... , ...,67 ,45 , >95,76 ,50 , >95,... ,... , ...,76 ,51 , >95,75 ,50 , >95,89 ,59 , >95
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,60 ,48 , 71,69 ,55 , 82,93 ,75 , >95,64 ,52 , 76,69 ,56 , 82,80 ,65 , 95,69 ,56 , 81,66 ,54 , 78,83 ,68 , >95,74 ,61 , 87,63 ,52 , 73,85 ,70 , >95
Equatorial Guinea,43 ,36 , 52,48 ,40 , 59,... ,... , ...,45 ,37 , 55,60 ,50 , 74,... ,... , ...,47 ,38 , 59,75 ,61 , 94,... ,... , ...,49 ,39 , 64,69 ,56 , 90,... ,... , ...
Eritrea,79 ,59 , >95,60 ,45 , 80,... ,... , ...,80 ,60 , >95,61 ,45 , 82,... ,... , ...,81 ,60 , >95,61 ,45 , 83,... ,... , ...,82 ,61 , >95,62 ,46 , 84,77 ,57 , >95
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,83 ,73 , 92,70 ,62 , 78,... ,... , ...,83 ,74 , 92,71 ,63 , 79,90 ,80 , >95
Eswatini,88 ,82 , 95,79 ,73 , 85,... ,... , ...,90 ,84 , >95,87 ,81 , 94,91 ,84 , >95,92 ,86 , >95,94 ,87 , >95,91 ,85 , >95,92 ,86 , >95,93 ,87 , >95,94 ,88 , >95
Ethiopia,71 ,54 , 92,82 ,63 , >95,... ,... , ...,74 ,57 , >95,84 ,65 , >95,... ,... , ...,76 ,58 , >95,84 ,64 , >95,... ,... , ...,79 ,60 , >95,83 ,63 , >95,... ,... , ...
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,89 ,71 , >95,80 ,64 , >95,... ,... , ...,90 ,72 , >95,80 ,64 , >95,... ,... , ...,90 ,72 , >95,82 ,66 , >95,... ,... , ...,91 ,72 , >95,84 ,66 , >95,88 ,70 , >95
France,... ,... , ...,... ,... , ...,... ,... , ...,88 ,74 , >95,92 ,77 , >95,93 ,78 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gambia,27 ,22 , 34,82 ,66 , >95,... ,... , ...,29 ,23 , 36,88 ,71 , >95,... ,... , ...,30 ,25 , 38,89 ,73 , >95,... ,... , ...,36 ,29 , 46,81 ,66 , >95,... ,... , ...
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,59 ,51 , 68,84 ,72 , >95,85 ,74 , >95
Germany,86 ,70 , >95,89 ,72 , >95,93 ,76 , >95,87 ,71 , >95,90 ,74 , >95,95 ,77 , >95,87 ,71 , >95,93 ,75 , >95,>95 ,77 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,48 ,41 , 56,53 ,45 , 61,... ,... , ...,51 ,43 , 59,56 ,47 , 65,... ,... , ...,54 ,45 , 62,58 ,49 , 67,... ,... , ...,57 ,48 , 66,59 ,50 , 69,... ,... , ...
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 ,10 , 14
Guatemala,56 ,51 , 60,61 ,57 , 67,... ,... , ...,58 ,54 , 63,64 ,59 , 70,83 ,76 , 90,61 ,56 , 66,62 ,57 , 68,83 ,76 , 90,62 ,57 , 68,69 ,64 , 75,80 ,74 , 87
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guyana,71 ,64 , 80,82 ,74 , 92,... ,... , ...,84 ,76 , 95,73 ,66 , 82,82 ,73 , 92,88 ,78 , >95,74 ,66 , 84,82 ,73 , 94,93 ,82 , >95,73 ,64 , 84,81 ,71 , 92
Haiti,60 ,55 , 66,77 ,70 , 85,... ,... , ...,63 ,58 , 70,87 ,79 , >95,... ,... , ...,66 ,60 , 74,93 ,84 , >95,... ,... , ...,67 ,60 , 75,86 ,78 , >95,... ,... , ...
Honduras,... ,... , ...,... ,... , ...,... ,... , ...,56 ,45 , 68,83 ,67 , >95,84 ,68 , >95,59 ,47 , 71,85 ,68 , >95,82 ,66 , >95,60 ,47 , 72,85 ,67 , >95,83 ,66 , >95
Hungary,86 ,74 , >95,53 ,46 , 60,... ,... , ...,87 ,75 , >95,53 ,46 , 60,... ,... , ...,89 ,77 , >95,57 ,49 , 65,... ,... , ...,90 ,78 , >95,62 ,54 , 70,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,68 , 84,>95 ,88 , >95,>95 ,87 , >95,80 ,72 , 88,>95 ,88 , >95,>95 ,85 , >95
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,73 ,59 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,51 ,44 , 60,33 ,29 , 39,... ,... , ...
Iran (Islamic Republic of),31 ,19 , 53,43 ,27 , 73,... ,... , ...,33 ,20 , 57,49 ,30 , 87,... ,... , ...,34 ,20 , 63,54 ,32 , >95,72 ,42 , >95,36 ,20 , 69,57 ,32 , >95,82 ,45 , >95
Ireland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,86 ,75 , >95,88 ,77 , >95,>95 ,83 , >95,90 ,78 , >95,89 ,77 , >95,95 ,82 , >95
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,87 ,77 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,... ,... , ...,... ,... , ...,92 ,79 , >95,87 ,75 , >95,87 ,75 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,61 ,53 , 69,44 ,38 , 50,... ,... , ...,63 ,54 , 71,45 ,39 , 52,... ,... , ...,64 ,56 , 73,47 ,41 , 53,... ,... , ...,... ,... , ...,... ,... , ...,80 ,70 , 91
Japan,... ,... , ...,... ,... , ...,>95 ,83 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,86 ,79 , 92,37 ,34 , 40,64 ,59 , 68,86 ,79 , 92,43 ,40 , 46,58 ,54 , 63,87 ,80 , 93,56 ,52 , 60,72 ,67 , 77,88 ,81 , 94,66 ,61 , 71,65 ,60 , 69
Kenya,84 ,71 , >95,70 ,59 , 84,... ,... , ...,87 ,74 , >95,76 ,64 , 91,... ,... , ...,89 ,76 , >95,81 ,69 , >95,... ,... , ...,89 ,76 , >95,77 ,65 , 92,... ,... , ...
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,,,
Kuwait,52 ,48 , 57,93 ,85 , >95,95 ,86 , >95,59 ,54 , 63,95 ,86 , >95,95 ,87 , >95,62 ,56 , 67,93 ,84 , >95,>95 ,86 , >95,67 ,60 , 73,92 ,83 , >95,>95 ,87 , >95
Kyrgyzstan,58 ,45 , 78,47 ,37 , 63,61 ,47 , 81,61 ,47 , 82,54 ,42 , 74,63 ,49 , 85,65 ,49 , 88,60 ,46 , 81,67 ,52 , 92,68 ,52 , 92,64 ,48 , 86,68 ,52 , 93
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,67 , 87,63 ,55 , 72,94 ,83 , >95,85 ,75 , >95,64 ,56 , 73,87 ,77 , >95
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,81 ,72 , 90,52 ,47 , 58,... ,... , ...,82 ,73 , 91,59 ,52 , 65,... ,... , ...,87 ,77 , >95,62 ,55 , 69,89 ,79 , >95,91 ,80 , >95,66 ,58 , 73,92 ,81 , >95
Lesotho,72 ,68 , 77,64 ,60 , 68,... ,... , ...,77 ,72 , 82,70 ,66 , 75,... ,... , ...,81 ,76 , 87,74 ,69 , 79,87 ,82 , 93,86 ,80 , 92,71 ,66 , 76,93 ,87 , >95
Liberia,60 ,54 , 66,31 ,28 , 34,... ,... , ...,62 ,57 , 70,32 ,30 , 36,... ,... , ...,65 ,59 , 73,45 ,41 , 50,... ,... , ...,68 ,62 , 76,52 ,47 , 58,... ,... , ...
