Region,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Asia and the Pacific,58 ,45 , 76,62 ,49 , 80,67 ,56 , 84,69 ,59 , 85
Caribbean,64 ,52 , 77,67 ,55 , 80,69 ,58 , 82,72 ,60 , 86
East and Southern Africa,77 ,68 , 87,80 ,71 , 90,83 ,73 , 93,85 ,75 , >95
Eastern Europe and Central Asia,65 ,51 , 79,67 ,54 , 81,70 ,56 , 84,72 ,64 , 81
Latin America,70 ,53 , 89,73 ,56 , 93,75 ,58 , >95,80 ,62 , >95
Middle East and North Africa,40 ,21 , 69,42 ,23 , 73,45 ,25 , 77,47 ,26 , 80
West and Central Africa,51 ,41 , 64,55 ,44 , 69,59 ,47 , 74,64 ,51 , 80
Western & Central Europe and North America,86 ,73 , >95,87 ,75 , >95,87 ,75 , >95,88 ,75 , >95
Global,70 ,59,82,73 ,62,86,76 ,65,89,79 ,67,92
