,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Ecuador,... ,... , ...,... ,... , ...,... ,... , ...,50 ,33 , 83,83 ,55 , >95,... ,... , ...,63 ,42 , >95,76 ,50 , >95,... ,... , ...,73 ,48 , >95,75 ,50 , >95,87 ,57 , >95
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,56 ,45 , 66,70 ,56 , 82,>95 ,80 , >95,61 ,50 , 72,68 ,55 , 80,79 ,64 , 93,67 ,54 , 79,63 ,51 , 74,82 ,66 , >95,74 ,60 , 86,60 ,49 , 70,84 ,69 , >95
Equatorial Guinea,37 ,31 , 45,27 ,23 , 34,... ,... , ...,38 ,31 , 47,39 ,32 , 48,... ,... , ...,39 ,31 , 49,49 ,39 , 62,... ,... , ...,40 ,31 , 52,44 ,35 , 57,... ,... , ...
Eritrea,86 ,66 , >95,63 ,48 , 84,... ,... , ...,87 ,65 , >95,65 ,49 , 87,... ,... , ...,87 ,65 , >95,58 ,43 , 78,... ,... , ...,87 ,64 , >95,57 ,43 , 77,... ,... , ...
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,66 , 86,70 ,60 , 78,... ,... , ...,77 ,67 , 87,70 ,61 , 79,90 ,78 , >95
Eswatini,89 ,81 , >95,72 ,66 , 79,... ,... , ...,91 ,84 , >95,79 ,73 , 87,91 ,84 , >95,92 ,85 , >95,84 ,77 , 92,91 ,84 , >95,93 ,86 , >95,85 ,78 , 94,94 ,87 , >95
Ethiopia,74 ,56 , >95,79 ,60 , >95,... ,... , ...,77 ,59 , >95,84 ,64 , >95,... ,... , ...,79 ,61 , >95,83 ,63 , >95,... ,... , ...,81 ,62 , >95,82 ,62 , >95,... ,... , ...
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,89 ,68 , >95,80 ,61 , >95,... ,... , ...,90 ,69 , >95,80 ,61 , >95,... ,... , ...,90 ,69 , >95,82 ,63 , >95,... ,... , ...,91 ,70 , >95,84 ,64 , >95,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,88 ,72 , >95,93 ,75 , >95,92 ,74 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gambia,19 ,15 , 24,75 ,61 , >95,... ,... , ...,20 ,16 , 25,82 ,67 , >95,... ,... , ...,21 ,17 , 27,75 ,61 , >95,... ,... , ...,22 ,18 , 29,75 ,61 , >95,... ,... , ...
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,62 ,53 , 73,80 ,69 , 93,85 ,73 , >95
Germany,85 ,67 , >95,89 ,70 , >95,93 ,74 , >95,86 ,68 , >95,90 ,72 , >95,95 ,75 , >95,87 ,69 , >95,92 ,73 , >95,>95 ,75 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,40 ,34 , 47,45 ,38 , 52,... ,... , ...,41 ,34 , 48,50 ,42 , 58,... ,... , ...,41 ,35 , 49,54 ,46 , 64,... ,... , ...,43 ,36 , 51,58 ,49 , 69,... ,... , ...
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 ,8 , 12
Guatemala,56 ,51 , 62,61 ,55 , 68,... ,... , ...,59 ,54 , 66,66 ,60 , 73,86 ,78 , 95,63 ,57 , 69,64 ,58 , 71,86 ,78 , 95,65 ,59 , 71,72 ,66 , 80,81 ,74 , 89
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guyana,63 ,55 , 73,80 ,69 , 93,... ,... , ...,75 ,65 , 87,71 ,62 , 83,83 ,71 , >95,91 ,78 , >95,64 ,54 , 74,84 ,72 , >95,>95 ,81 , >95,64 ,55 , 75,80 ,69 , 94
Haiti,53 ,48 , 61,75 ,68 , 86,... ,... , ...,56 ,51 , 64,85 ,77 , >95,... ,... , ...,59 ,53 , 68,91 ,82 , >95,... ,... , ...,61 ,55 , 70,86 ,78 , >95,... ,... , ...
Honduras,... ,... , ...,... ,... , ...,... ,... , ...,46 ,36 , 57,83 ,65 , >95,83 ,65 , >95,50 ,39 , 62,84 ,66 , >95,83 ,65 , >95,53 ,40 , 65,84 ,65 , >95,85 ,66 , >95
Hungary,88 ,75 , >95,53 ,45 , 60,... ,... , ...,90 ,76 , >95,53 ,45 , 60,... ,... , ...,91 ,78 , >95,57 ,49 , 65,... ,... , ...,95 ,81 , >95,61 ,53 , 70,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,73 ,65 , 81,>95 ,88 , >95,>95 ,86 , >95,74 ,66 , 82,>95 ,88 , >95,>95 ,85 , >95
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),32 ,19 , 55,37 ,23 , 63,... ,... , ...,33 ,20 , 59,43 ,25 , 76,... ,... , ...,34 ,20 , 63,48 ,27 , 88,71 ,40 , >95,35 ,19 , 68,49 ,26 , 94,83 ,44 , >95
Ireland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,89 ,75 , >95,88 ,74 , >95,>95 ,81 , >95,92 ,78 , >95,88 ,75 , >95,95 ,80 , >95
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,86 ,74 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,... ,... , ...,... ,... , ...,94 ,77 , >95,86 ,70 , >95,84 ,68 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,46 ,39 , 53,40 ,34 , 46,... ,... , ...,48 ,41 , 55,42 ,36 , 48,... ,... , ...,49 ,42 , 57,43 ,36 , 49,... ,... , ...,... ,... , ...,... ,... , ...,80 ,68 , 93
Japan,... ,... , ...,... ,... , ...,>95 ,83 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,82 ,75 , 87,33 ,30 , 35,59 ,55 , 64,81 ,74 , 87,38 ,35 , 41,54 ,50 , 58,81 ,74 , 87,50 ,46 , 53,63 ,58 , 68,83 ,76 , 89,61 ,56 , 66,62 ,56 , 66
Kenya,84 ,71 , >95,61 ,52 , 73,... ,... , ...,86 ,73 , >95,65 ,55 , 78,... ,... , ...,88 ,74 , >95,70 ,59 , 85,... ,... , ...,88 ,75 , >95,67 ,57 , 81,... ,... , ...
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,,,
Kuwait,55 ,50 , 59,93 ,85 , >95,95 ,87 , >95,62 ,57 , 67,94 ,86 , >95,95 ,87 , >95,65 ,59 , 70,94 ,85 , >95,>95 ,86 , >95,70 ,63 , 76,92 ,83 , >95,>95 ,88 , >95
Kyrgyzstan,52 ,40 , 71,35 ,27 , 48,58 ,45 , 79,54 ,41 , 74,43 ,33 , 59,59 ,45 , 81,57 ,43 , 78,49 ,36 , 66,64 ,48 , 88,61 ,46 , 84,54 ,41 , 75,63 ,47 , 87
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,94 ,83 , >95,... ,... , ...,... ,... , ...,82 ,72 , 95
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,85 ,75 , >95,54 ,47 , 60,... ,... , ...,86 ,75 , >95,60 ,53 , 67,... ,... , ...,91 ,79 , >95,65 ,57 , 72,88 ,77 , >95,95 ,83 , >95,69 ,60 , 77,92 ,80 , >95
Lesotho,66 ,61 , 72,61 ,56 , 66,... ,... , ...,71 ,65 , 78,66 ,61 , 72,... ,... , ...,77 ,71 , 84,66 ,61 , 72,88 ,81 , >95,82 ,75 , 89,66 ,61 , 72,91 ,83 , >95
Liberia,49 ,44 , 55,31 ,28 , 35,... ,... , ...,51 ,46 , 57,27 ,24 , 30,... ,... , ...,52 ,47 , 59,31 ,28 , 34,... ,... , ...,54 ,49 , 61,46 ,41 , 51,... ,... , ...
