Region,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Asia and the Pacific,33 ,25 , 42,38 ,29 , 49,44 ,33 , 56,49 ,38 , 63
Caribbean,31 ,20 , 41,36 ,24 , 47,40 ,27 , 51,41 ,28 , 52
East and Southern Africa,43 ,37 , 50,49 ,41 , 56,54 ,46 , 61,58 ,50 , 66
Eastern Europe and Central Asia,17 ,13 , 21,22 ,17 , 26,25 ,20 , 31,29 ,26 , 33
Latin America,43 ,32 , 55,47 ,35 , 59,50 ,37 , 62,55 ,42 , 69
Middle East and North Africa,18 ,10 , 29,21 ,11 , 34,23 ,13 , 38,27 ,15 , 44
West and Central Africa,28 ,17 , 39,32 ,20 , 44,36 ,23 , 49,39 ,25 , 53
Western & Central Europe and North America,58 ,49 , 67,61 ,52 , 69,63 ,53 , 72,64 ,54 , 74
Global,39 ,32,47,44 ,36,52,49 ,40,58,53 ,43,63
